Date Time,Delta Waves,Theta Waves,Low Alpha Waves,High Alpha Waves,Low Beta Waves,High Beta Waves,Low Gamma Waves,High Gamma Waves,Attention,Meditation,Theta_Beta_Ratio,Alpha_Beta_Ratio,Delta_AB_Ratio,Total_Power,Session_Date,Label
2026-02-11 16:35:14.462,0.0,2.0,0.0,1.0,1.0,18.0,1.0,4.0,83.0,53.0,0.1052631523545709,0.0526315761772854,0.0,27.0,2026-02-11,0
2026-02-11 16:35:15.471,1.0,3.0,1.0,1.0,1.0,24.0,1.0,5.0,96.0,54.0,0.1199999952000001,0.0799999968000001,0.0370370356652949,37.0,2026-02-11,0
2026-02-11 16:35:16.484,5.0,28.0,26.0,15.0,38.0,84.0,8.0,13.0,94.0,54.0,0.2295081948400967,0.336065571015856,0.0306748464375776,217.0,2026-02-11,0
2026-02-11 16:35:17.488,64.0,86.0,50.0,22.0,24.0,61.0,11.0,15.0,84.0,51.0,1.0117646939792388,0.847058813564014,0.4076433095054566,333.0,2026-02-11,0
2026-02-11 16:35:18.495,86.0,69.0,38.0,5.0,13.0,21.0,9.0,5.0,61.0,51.0,2.029411705017303,1.2647058451557105,1.1168831023781416,246.0,2026-02-11,0
2026-02-11 16:35:19.503,100.0,11.0,10.0,2.0,16.0,12.0,6.0,3.0,47.0,51.0,0.3928571288265311,0.4285714132653067,2.499999937500002,160.0,2026-02-11,0
2026-02-11 16:35:20.509,2.0,5.0,0.0,3.0,9.0,14.0,10.0,7.0,47.0,50.0,0.2173912948960306,0.1304347769376184,0.0769230739644971,50.0,2026-02-11,0
2026-02-11 16:35:21.518,0.0,2.0,3.0,3.0,15.0,19.0,4.0,12.0,60.0,50.0,0.0588235276816609,0.1764705830449828,0.0,58.0,2026-02-11,0
2026-02-11 16:35:22.524,17.0,15.0,11.0,5.0,16.0,35.0,3.0,4.0,75.0,53.0,0.2941176412918109,0.3137254840445984,0.2537313394965472,106.0,2026-02-11,0
2026-02-11 16:35:23.531,4.0,1.0,2.0,1.0,4.0,7.0,0.0,2.0,81.0,57.0,0.0909090826446288,0.2727272479338866,0.2857142653061239,21.0,2026-02-11,0
2026-02-11 16:35:24.537,20.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,78.0,61.0,0.2499999375000156,0.4999998750000312,3.33333277777787,28.0,2026-02-11,0
2026-02-11 16:35:25.554,6.0,3.0,1.0,0.0,0.0,5.0,2.0,2.0,74.0,57.0,0.599999880000024,0.199999960000008,0.9999998333333612,19.0,2026-02-11,0
2026-02-11 16:35:26.568,0.0,3.0,2.0,2.0,6.0,15.0,3.0,7.0,77.0,61.0,0.142857136054422,0.1904761814058961,0.0,38.0,2026-02-11,0
2026-02-11 16:35:27.570,1.0,3.0,18.0,2.0,2.0,15.0,2.0,14.0,74.0,67.0,0.1764705778546718,1.176470519031146,0.0270270262965668,57.0,2026-02-11,0
2026-02-11 16:35:28.576,1.0,2.0,3.0,1.0,1.0,12.0,1.0,3.0,80.0,70.0,0.1538461420118352,0.3076922840236705,0.0588235259515572,24.0,2026-02-11,0
2026-02-11 16:35:29.609,0.0,1.0,1.0,0.0,2.0,9.0,1.0,2.0,87.0,70.0,0.0909090826446288,0.0909090826446288,0.0,16.0,2026-02-11,0
2026-02-11 16:35:30.618,0.0,2.0,3.0,0.0,2.0,9.0,2.0,2.0,87.0,67.0,0.1818181652892577,0.2727272479338866,0.0,20.0,2026-02-11,0
2026-02-11 16:35:31.633,0.0,4.0,8.0,3.0,8.0,8.0,3.0,6.0,84.0,63.0,0.2499999843750009,0.6874999570312527,0.0,40.0,2026-02-11,0
2026-02-11 16:35:32.635,0.0,3.0,0.0,1.0,4.0,6.0,3.0,6.0,78.0,56.0,0.299999970000003,0.099999990000001,0.0,23.0,2026-02-11,0
2026-02-11 16:35:33.650,0.0,1.0,4.0,1.0,6.0,22.0,1.0,5.0,81.0,60.0,0.0357142844387755,0.1785714221938777,0.0,40.0,2026-02-11,0
2026-02-11 16:35:34.692,1.0,1.0,8.0,1.0,2.0,23.0,3.0,3.0,84.0,67.0,0.0399999984,0.3599999856000005,0.0294117638408304,42.0,2026-02-11,0
2026-02-11 16:35:35.701,2.0,3.0,6.0,1.0,5.0,24.0,3.0,2.0,96.0,61.0,0.1034482722948871,0.2413793020214033,0.0555555540123457,46.0,2026-02-11,0
2026-02-11 16:35:36.706,0.0,6.0,10.0,1.0,4.0,9.0,4.0,6.0,93.0,66.0,0.4615384260355057,0.8461537810650938,0.0,40.0,2026-02-11,0
2026-02-11 16:35:37.721,2.0,11.0,4.0,3.0,14.0,57.0,1.0,2.0,91.0,60.0,0.154929575282682,0.0985915479071613,0.0256410253122945,94.0,2026-02-11,0
2026-02-11 16:35:38.727,0.0,9.0,1.0,2.0,5.0,51.0,3.0,3.0,91.0,47.0,0.1607142828443878,0.0535714276147959,0.0,74.0,2026-02-11,0
2026-02-11 16:35:39.736,2.0,14.0,9.0,1.0,9.0,22.0,3.0,2.0,81.0,41.0,0.4516128886576487,0.3225806347554634,0.04878048661511,62.0,2026-02-11,0
2026-02-11 16:35:40.742,10.0,15.0,0.0,1.0,3.0,12.0,7.0,2.0,81.0,26.0,0.9999999333333378,0.0666666622222225,0.6249999609375024,50.0,2026-02-11,0
2026-02-11 16:35:41.750,43.0,44.0,12.0,26.0,22.0,36.0,20.0,17.0,66.0,35.0,0.7586206765755056,0.6551724024970276,0.4479166620008681,220.0,2026-02-11,0
2026-02-11 16:35:42.756,13.0,31.0,92.0,25.0,55.0,46.0,16.0,100.0,50.0,48.0,0.3069306900303892,1.1584158301146947,0.0596330272493897,378.0,2026-02-11,0
2026-02-11 16:35:43.765,83.0,100.0,100.0,100.0,100.0,100.0,100.0,88.0,43.0,57.0,0.4999999975,0.999999995,0.20749999948125,771.0,2026-02-11,0
2026-02-11 16:35:44.773,60.0,20.0,2.0,12.0,18.0,39.0,17.0,6.0,47.0,69.0,0.350877186826716,0.2456140307787012,0.8450704106328112,174.0,2026-02-11,0
